objid,ra,dec,u,g,r,i,z,petroR50_r,petroR90_r,deVAB_r,expAB_r,petroMag_r,fracDeV_r,elliptical,spiral,dered_g,dered_r,dered_i,redshift,concentration,g_r_color,r_i_color
1237645876861337633,336.636105649066,-0.95492582422132,17.8789,17.77469,17.41002,16.94773,16.9025,1.106984,3.076059,0.9998463,0.9999158,17.39879,0.9998463,1,0,17.77469,17.41002,16.94773,0.20527959077746893,2.753897101480415,0.36467000000000027,0.4622899999999994
1237645876861337700,336.717612456684,-0.935380104572762,20.77302,18.61607,17.15036,16.58867,16.2121,2.466109,6.953536,0.8278037,0.8713887,17.27233,0.8278037,1,0,18.61607,17.15036,16.58867,0.03591611720604325,2.808251171495278,1.4657100000000014,0.5616899999999987
1237645876861337739,336.634877478557,-0.985764967479531,19.1734,17.93297,17.49223,17.19752,17.04596,2.79199,6.747785,0.3537352,0.4021073,17.49614,0.3537352,0,1,17.93297,17.49223,17.19752,0.09491384435347608,2.4082116638531903,0.4407400000000017,0.2947099999999985
1237645876861337742,336.636597181882,-0.866550910916144,19.87387,18.09529,17.22405,16.81569,16.49786,1.689128,4.823837,0.6877624,0.6786175,17.26168,0.6877624,1,0,18.09529,17.22405,16.81569,0.19972933658415304,2.839007420276754,0.8712400000000002,0.4083599999999983
1237645876861337770,336.675991929509,-1.01032259933543,19.26946,18.12206,17.6007,17.25603,17.10802,1.5532,3.091638,0.6828797,0.7231565,17.63165,0.6828797,1,0,18.12206,17.6007,17.25603,0.040194509013227714,1.9777622824974412,0.5213600000000014,0.3446700000000007
1237645876861337774,336.678996612638,-0.94349838717391,20.63128,18.72408,17.72974,17.29364,16.93475,1.329546,3.458792,0.4293539,0.4679149,17.80376,0.4293539,0,1,18.72408,17.72974,17.29364,0.07722891812732453,2.5820628780198667,0.9943400000000011,0.4360999999999997
1237645876861337788,336.701554425756,-0.910650141768289,19.55814,17.85333,17.00251,16.53573,16.22641,1.668627,4.777833,0.5716555,0.6336917,17.08667,0.5716555,1,0,17.85333,17.00251,16.53573,0.14953511555351318,2.846274365895461,0.8508199999999988,0.46678
1237645876861337873,336.73221683568,-0.917679337910986,20.53063,18.80495,17.30868,16.72714,16.332,3.543889,9.78888,0.6480212,0.6281927,17.3972,0.6480212,1,0,18.80495,17.30868,16.72714,0.11166639037311668,2.7544135452739242,1.4962700000000027,0.5815400000000004
1237645876861403262,336.88354114871,-0.971790059442778,26.37344,16.88811,16.39522,16.15254,23.83797,8.562258,15.15805,0.3577757,0.2717322,16.51629,0.3577757,0,1,16.88811,16.39522,16.15254,0.29876281613499667,1.7682680572609923,0.4928900000000027,0.24268
1237645876861403356,336.883625556988,-0.902021236541507,20.34264,18.53116,17.32245,16.79403,16.36732,2.008251,5.918241,0.8260431,0.8695096,17.45386,0.8260431,1,0,18.53116,17.32245,16.79403,0.2565303598897784,2.932361237526948,1.20871,0.5284200000000006
1237645876861403384,336.836528666957,-0.9362232016493,21.22324,19.35367,17.81774,17.19009,16.80276,2.159892,6.794851,0.6898606,0.6769791,17.88861,0.6898606,1,0,19.35367,17.81774,17.19009,0.031712980494847706,3.1314235915888906,1.5359300000000005,0.6276499999999992
1237645876861403459,336.797910559858,-0.919051754873523,19.2472,18.32922,17.4665,17.01858,16.72139,3.086066,7.387887,0.7866697,0.7674165,17.87713,0.7866697,1,0,18.32922,17.4665,17.01858,0.29783117119409114,2.386217541874107,0.8627199999999995,0.4479199999999999
1237645876861468830,336.95558870675,-0.862618998477573,19.62175,18.02895,17.17534,16.73439,16.37224,2.712844,6.082016,0.5616122,0.5946141,17.16319,0.5616122,1,0,18.02895,17.17534,16.73439,0.20312784583048057,2.23369976392331,0.8536099999999998,0.4409499999999973
1237645876861468856,337.00162321843,-0.869139997456533,21.26256,18.9197,17.72524,17.24174,16.87166,1.463081,3.814053,0.7787487,0.7914456,17.80129,0.7787487,1,0,18.9197,17.72524,17.24174,0.2600687180068563,2.5891671944719943,1.1944599999999994,0.4834999999999994
1237645876861534236,337.081948077536,-0.944163796024871,24.62408,25.34799,15.90714,13.33273,23.47044,8.564374,15.12155,0.9043411,0.780166,16.00088,0.9043411,1,0,25.34799,15.90714,13.33273,0.09168107225620761,1.7635748102427067,9.44085,2.5744100000000003
1237645876861534558,337.176567178369,-0.907050562682796,21.19819,19.07225,17.98049,17.53493,17.12129,1.710936,5.156435,0.8054071,0.8328249,17.98429,0.8054071,1,0,19.07225,17.98049,17.53493,0.01253493016773568,2.9962967826810525,1.0917600000000007,0.4455600000000004
1237645876861599926,337.240451418331,-0.897471582781504,17.6032,16.0071,15.20208,14.74579,14.41862,4.748931,12.25636,0.5705883,0.5213788,15.38341,0.5705883,1,0,16.0071,15.20208,14.74579,0.07344982236387604,2.5754439389854573,0.8050200000000007,0.456290000000001
1237645876861599989,337.204137735282,-0.949954472817958,21.33657,19.48285,17.97291,17.42786,17.04894,2.278199,6.921071,0.8207784,0.8533014,17.95683,0.8207784,1,0,19.48285,17.97291,17.42786,0.2405504373472958,3.024680545704286,1.5099400000000003,0.5450499999999998
1237645876861600007,337.262715115452,-0.966268492671061,18.99146,17.98469,17.52702,17.2184,17.09894,2.590954,5.35727,0.6182653,0.6735026,17.58907,0.6182653,1,0,17.98469,17.52702,17.2184,0.17647959098215762,2.059732698079243,0.45767000000000024,0.3086200000000012
1237645876861665425,337.350860492241,-1.00495495849867,19.29846,18.34237,18.00976,17.69285,17.62311,1.789874,4.345675,0.4190448,0.47089,17.97811,0.4190448,0,1,18.34237,18.00976,17.69285,0.01930499418170749,2.4144328991918322,0.33260999999999896,0.31691
1237645876861665491,337.450203504795,-0.893565613129473,20.54748,18.41749,17.26418,16.79645,16.36331,2.281449,5.534634,0.612699,0.6289012,17.4433,0.612699,1,0,18.41749,17.26418,16.79645,0.04058371013577941,2.415342431797522,1.1533100000000012,0.46772999999999954
1237645876861665510,337.338523054675,-0.966630794728997,19.36467,18.18657,17.6606,17.37468,17.20725,3.300618,6.557078,0.404515,0.4657971,17.76975,0.404515,0,1,18.18657,17.6606,17.37468,0.07441984275094153,1.9806205367094603,0.5259700000000009,0.2859199999999973
